timestamp,sensor,value_c,setpoint_c,anomaly_mode,event,value_g
2026-07-26T13:14:12.502610+00:00,temperature,3.961,4.0,none,,
2026-07-26T13:14:12.502610+00:00,vibration_rms,,,none,,0.514
2026-07-26T13:14:29.094575+00:00,temperature,3.637,4.0,none,,
2026-07-26T13:14:31.821411+00:00,temperature,4.07,4.0,none,,
2026-07-26T13:14:31.821411+00:00,vibration_rms,,,none,,0.369
2026-07-26T13:14:34.311895+00:00,temperature,3.875,4.0,none,,
2026-07-26T13:14:36.083096+00:00,temperature,4.159,4.0,none,,
2026-07-26T13:14:36.083096+00:00,vibration_rms,,,none,,0.469
2026-07-26T13:14:38.662457+00:00,temperature,4.43,4.0,none,,
2026-07-26T13:14:40.258744+00:00,temperature,4.277,4.0,none,,
2026-07-26T13:14:40.258744+00:00,vibration_rms,,,none,,0.464
2026-07-26T13:14:42.247027+00:00,temperature,3.925,4.0,none,,
2026-07-26T13:14:43.918908+00:00,temperature,3.97,4.0,none,,
2026-07-26T13:14:43.918908+00:00,vibration_rms,,,none,,0.496
2026-07-26T13:14:45.681699+00:00,temperature,3.964,4.0,none,,
2026-07-26T13:14:47.327900+00:00,temperature,3.724,4.0,none,,
2026-07-26T13:14:47.327900+00:00,vibration_rms,,,none,,0.537
2026-07-26T13:14:52.466720+00:00,temperature,4.153,4.0,none,,
2026-07-26T13:14:54.473394+00:00,temperature,4.435,4.0,none,,
2026-07-26T13:14:54.473394+00:00,vibration_rms,,,none,,0.478
2026-07-26T13:14:56.911368+00:00,temperature,3.63,4.0,none,,
2026-07-26T13:14:58.648252+00:00,temperature,4.444,4.0,none,,
2026-07-26T13:14:58.648252+00:00,vibration_rms,,,none,,0.548
2026-07-26T13:15:00.752025+00:00,temperature,4.312,4.0,none,,
2026-07-26T13:15:02.345678+00:00,temperature,4.124,4.0,none,,
2026-07-26T13:15:02.345678+00:00,vibration_rms,,,none,,0.444
2026-07-26T13:15:02.345678+00:00,door_event,,,none,CLOSE,
2026-07-26T13:15:03.995853+00:00,temperature,4.215,4.0,none,,
2026-07-26T13:15:05.328276+00:00,temperature,4.086,4.0,none,,
2026-07-26T13:15:05.328276+00:00,vibration_rms,,,none,,0.39
2026-07-26T13:15:07.078770+00:00,temperature,4.58,4.0,none,,
2026-07-26T13:15:08.485722+00:00,temperature,4.497,4.0,none,,
2026-07-26T13:15:08.485722+00:00,vibration_rms,,,none,,0.436
2026-07-26T13:15:10.258345+00:00,temperature,3.932,4.0,none,,
2026-07-26T13:15:11.898439+00:00,temperature,4.328,4.0,none,,
2026-07-26T13:15:11.898439+00:00,vibration_rms,,,none,,0.376
2026-07-26T13:15:13.917909+00:00,temperature,3.847,4.0,none,,
2026-07-26T13:15:15.707416+00:00,temperature,4.141,4.0,none,,
2026-07-26T13:15:15.707416+00:00,vibration_rms,,,none,,0.39
2026-07-26T13:15:18.081855+00:00,temperature,4.248,4.0,none,,
2026-07-26T13:15:20.156378+00:00,temperature,3.89,4.0,none,,
2026-07-26T13:15:20.156378+00:00,vibration_rms,,,none,,0.481
2026-07-26T13:15:23.231880+00:00,temperature,3.633,4.0,none,,
2026-07-26T13:15:24.520566+00:00,temperature,3.91,4.0,none,,
2026-07-26T13:15:24.520566+00:00,vibration_rms,,,none,,0.392
2026-07-26T13:15:26.047064+00:00,temperature,4.444,4.0,none,,
2026-07-26T13:15:27.369340+00:00,temperature,3.422,4.0,none,,
2026-07-26T13:15:27.369340+00:00,vibration_rms,,,none,,0.403
2026-07-26T13:15:28.876892+00:00,temperature,3.948,4.0,none,,
2026-07-26T13:15:30.148598+00:00,temperature,3.961,4.0,none,,
2026-07-26T13:15:30.148598+00:00,vibration_rms,,,none,,0.449
2026-07-26T13:15:31.837727+00:00,temperature,3.635,4.0,none,,
2026-07-26T13:15:33.416216+00:00,temperature,4.701,4.0,none,,
2026-07-26T13:15:33.416216+00:00,vibration_rms,,,none,,0.383
2026-07-26T13:15:34.901964+00:00,temperature,4.264,4.0,none,,
2026-07-26T13:15:36.776515+00:00,temperature,3.679,4.0,none,,
2026-07-26T13:15:36.776515+00:00,vibration_rms,,,none,,0.504
2026-07-26T13:15:39.354273+00:00,temperature,4.053,4.0,none,,
2026-07-26T13:15:40.679903+00:00,temperature,4.567,4.0,none,,
2026-07-26T13:15:40.679903+00:00,vibration_rms,,,none,,0.443
2026-07-26T13:15:42.217920+00:00,temperature,3.653,4.0,none,,
2026-07-26T13:15:43.433693+00:00,temperature,4.027,4.0,none,,
2026-07-26T13:15:43.433693+00:00,vibration_rms,,,none,,0.435
2026-07-26T13:15:44.981599+00:00,temperature,3.895,4.0,none,,
2026-07-26T13:15:46.693345+00:00,temperature,3.356,4.0,none,,
2026-07-26T13:15:46.693345+00:00,vibration_rms,,,none,,0.527
2026-07-26T13:15:48.917328+00:00,temperature,3.742,4.0,none,,
2026-07-26T13:15:50.181194+00:00,temperature,3.857,4.0,none,,
2026-07-26T13:15:50.181194+00:00,vibration_rms,,,none,,0.384
2026-07-26T13:15:51.943220+00:00,temperature,3.386,4.0,none,,
2026-07-26T13:15:53.258665+00:00,temperature,4.129,4.0,none,,
2026-07-26T13:15:53.258665+00:00,vibration_rms,,,none,,0.502
2026-07-26T13:15:55.518821+00:00,temperature,4.44,4.0,none,,
2026-07-26T13:15:56.929035+00:00,temperature,4.639,4.0,none,,
2026-07-26T13:15:56.929035+00:00,vibration_rms,,,none,,0.545
2026-07-26T13:15:58.479427+00:00,temperature,4.642,4.0,none,,
2026-07-26T13:15:59.768172+00:00,temperature,4.026,4.0,none,,
2026-07-26T13:15:59.768172+00:00,vibration_rms,,,none,,0.489
2026-07-26T13:16:02.418427+00:00,temperature,4.044,4.0,none,,
2026-07-26T13:16:03.633707+00:00,temperature,4.334,4.0,none,,
2026-07-26T13:16:03.633707+00:00,vibration_rms,,,none,,0.506
2026-07-26T13:16:05.140971+00:00,temperature,4.059,4.0,none,,
2026-07-26T13:16:06.723828+00:00,temperature,3.844,4.0,none,,
2026-07-26T13:16:06.723828+00:00,vibration_rms,,,none,,0.482
2026-07-26T13:16:08.235155+00:00,temperature,3.918,4.0,none,,
2026-07-26T13:16:09.553577+00:00,temperature,3.895,4.0,none,,
2026-07-26T13:16:09.553577+00:00,vibration_rms,,,none,,0.446
2026-07-26T13:16:11.352008+00:00,temperature,3.498,4.0,none,,
2026-07-26T13:16:12.721622+00:00,temperature,4.288,4.0,none,,
2026-07-26T13:16:12.721622+00:00,vibration_rms,,,none,,0.471
2026-07-26T13:16:14.297588+00:00,temperature,4.338,4.0,none,,
2026-07-26T13:16:16.521864+00:00,temperature,4.198,4.0,none,,
2026-07-26T13:16:16.521864+00:00,vibration_rms,,,none,,0.538
2026-07-26T13:16:18.054577+00:00,temperature,4.125,4.0,none,,
2026-07-26T13:16:19.351766+00:00,temperature,3.505,4.0,none,,
2026-07-26T13:16:19.351766+00:00,vibration_rms,,,none,,0.443
2026-07-26T13:16:20.858324+00:00,temperature,3.76,4.0,none,,
2026-07-26T13:16:22.129974+00:00,temperature,3.795,4.0,none,,
2026-07-26T13:16:22.129974+00:00,vibration_rms,,,none,,0.453
2026-07-26T13:16:23.644842+00:00,temperature,3.76,4.0,none,,
2026-07-26T13:16:24.973094+00:00,temperature,4.327,4.0,none,,
2026-07-26T13:16:24.973094+00:00,vibration_rms,,,none,,0.447
2026-07-26T13:16:26.456316+00:00,temperature,4.099,4.0,none,,
2026-07-26T13:16:27.769981+00:00,temperature,4.572,4.0,none,,
2026-07-26T13:16:27.769981+00:00,vibration_rms,,,none,,0.421
2026-07-26T13:16:27.769981+00:00,door_event,,,none,CLOSE,
2026-07-26T13:16:29.501440+00:00,temperature,3.878,4.0,none,,
2026-07-26T13:16:30.762459+00:00,temperature,3.831,4.0,none,,
2026-07-26T13:16:30.762459+00:00,vibration_rms,,,none,,0.458
2026-07-26T13:16:32.252491+00:00,temperature,4.26,4.0,none,,
2026-07-26T13:16:33.556246+00:00,temperature,4.399,4.0,none,,
2026-07-26T13:16:33.556246+00:00,vibration_rms,,,none,,0.343
2026-07-26T13:16:35.165207+00:00,temperature,4.374,4.0,none,,
2026-07-26T13:16:36.405294+00:00,temperature,4.167,4.0,none,,
2026-07-26T13:16:36.405294+00:00,vibration_rms,,,none,,0.367
2026-07-26T13:16:38.871251+00:00,temperature,3.712,4.0,none,,
2026-07-26T13:16:40.401065+00:00,temperature,3.814,4.0,none,,
2026-07-26T13:16:40.401065+00:00,vibration_rms,,,none,,0.415
2026-07-26T13:16:40.401065+00:00,door_event,,,none,OPEN,
2026-07-26T13:16:43.416619+00:00,temperature,4.128,4.0,none,,
2026-07-26T13:16:45.075584+00:00,temperature,4.204,4.0,none,,
2026-07-26T13:16:45.075584+00:00,vibration_rms,,,none,,0.489
2026-07-26T13:16:46.503929+00:00,temperature,4.344,4.0,none,,
2026-07-26T13:16:47.764179+00:00,temperature,4.278,4.0,none,,
2026-07-26T13:16:47.764179+00:00,vibration_rms,,,none,,0.448
2026-07-26T13:16:49.267788+00:00,temperature,4.089,4.0,none,,
2026-07-26T13:16:50.570817+00:00,temperature,3.845,4.0,none,,
2026-07-26T13:16:50.570817+00:00,vibration_rms,,,none,,0.435
2026-07-26T13:16:52.102457+00:00,temperature,4.409,4.0,none,,
2026-07-26T13:16:53.345416+00:00,temperature,4.143,4.0,none,,
2026-07-26T13:16:53.345416+00:00,vibration_rms,,,none,,0.352
2026-07-26T13:16:54.816735+00:00,temperature,3.954,4.0,none,,
2026-07-26T13:16:56.132208+00:00,temperature,3.868,4.0,none,,
2026-07-26T13:16:56.132208+00:00,vibration_rms,,,none,,0.505
2026-07-26T13:16:57.649356+00:00,temperature,4.227,4.0,none,,
2026-07-26T13:16:58.873868+00:00,temperature,4.426,4.0,none,,
2026-07-26T13:16:58.873868+00:00,vibration_rms,,,none,,0.452
2026-07-26T13:17:00.509486+00:00,temperature,4.246,4.0,none,,
2026-07-26T13:17:01.846118+00:00,temperature,3.85,4.0,none,,
2026-07-26T13:17:01.846118+00:00,vibration_rms,,,none,,0.42
2026-07-26T13:17:03.373313+00:00,temperature,3.828,4.0,none,,
